prop	dl	hl	triple_diff
0.05	50	50	0.011613799999999992
0.1	50	50	0.022366800000000006
0.15	50	50	0.033761299999999994
0.2	50	50	0.04911670000000003
0.25	50	50	0.0672711
0.3	50	50	0.08561340000000006
0.35	50	50	0.09896450000000002
0.4	50	50	0.11097280000000012
0.45	50	50	0.1426621000000001
0.5	50	50	0.15545539999999997
0.55	50	50	0.17318600000000012
0.6	50	50	0.20379949999999988
0.65	50	50	0.23422249999999983
0.7	50	50	0.26714000000000016
0.75	50	50	0.2832143000000006
0.8	50	50	0.32576760000000066
0.85	50	50	0.3525528000000009
0.9	50	50	0.37659310000000096
